slug,name,modality,level,force,mechanic,equipment,primary_muscles,secondary_muscles,rest_seconds,source
incline-hammer-curls,Incline Hammer Curls,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
incline-inner-biceps-curl,Incline Inner Biceps Curl,strength,beginner,,isolation,dumbbell,biceps,,90,free-exercise-db
incline-push-up,Incline Push-Up,strength,beginner,push,compound,body only,chest,shoulders; triceps,90,free-exercise-db
incline-push-up-close-grip,Incline Push-Up Close-Grip,strength,beginner,push,compound,body only,triceps,chest; shoulders,90,free-exercise-db
incline-push-up-medium,Incline Push-Up Medium,strength,beginner,push,compound,body only,chest,abdominals; shoulders; triceps,90,free-exercise-db
incline-push-up-reverse-grip,Incline Push-Up Reverse Grip,strength,beginner,push,compound,body only,chest,abdominals; shoulders; triceps,90,free-exercise-db
incline-push-up-wide,Incline Push-Up Wide,strength,beginner,push,compound,body only,chest,abdominals; shoulders; triceps,90,free-exercise-db
internal-rotation-with-band,Internal Rotation with Band,strength,beginner,,isolation,bands,shoulders,,90,free-exercise-db
inverted-row,Inverted Row,strength,beginner,pull,compound,,middle back,lats,90,free-exercise-db
inverted-row-with-straps,Inverted Row with Straps,strength,beginner,pull,compound,other,middle back,biceps; lats,90,free-exercise-db
iron-cross,Iron Cross,strength,intermediate,push,compound,dumbbell,shoulders,chest; glutes; hamstrings; lower back; quadriceps; traps,90,free-exercise-db
isometric-neck-exercise-front-and-back,Isometric Neck Exercise - Front And Back,strength,beginner,static,isolation,body only,neck,,90,free-exercise-db
isometric-neck-exercise-sides,Isometric Neck Exercise - Sides,strength,beginner,static,isolation,body only,neck,,90,free-exercise-db
isometric-wipers,Isometric Wipers,strength,beginner,push,compound,body only,chest,abdominals; shoulders; triceps,90,free-exercise-db
jackknife-sit-up,Jackknife Sit-Up,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
janda-sit-up,Janda Sit-Up,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
jefferson-squats,Jefferson Squats,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back; traps,90,free-exercise-db
jm-press,JM Press,strength,beginner,push,compound,barbell,triceps,chest; shoulders,90,free-exercise-db
kettlebell-arnold-press,Kettlebell Arnold Press,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
kettlebell-dead-clean,Kettlebell Dead Clean,strength,intermediate,pull,compound,kettlebells,hamstrings,calves; glutes; lower back; quadriceps; traps,90,free-exercise-db
kettlebell-figure-8,Kettlebell Figure 8,strength,intermediate,pull,,kettlebells,abdominals,hamstrings; shoulders,90,free-exercise-db
kettlebell-hang-clean,Kettlebell Hang Clean,strength,intermediate,pull,compound,kettlebells,hamstrings,calves; glutes; lower back; shoulders; traps,90,free-exercise-db
kettlebell-one-legged-deadlift,Kettlebell One-Legged Deadlift,strength,intermediate,pull,compound,kettlebells,hamstrings,glutes; lower back,90,free-exercise-db
kettlebell-pass-between-the-legs,Kettlebell Pass Between The Legs,strength,intermediate,pull,compound,kettlebells,abdominals,glutes; hamstrings; shoulders,90,free-exercise-db
kettlebell-pirate-ships,Kettlebell Pirate Ships,strength,beginner,push,compound,kettlebells,shoulders,abdominals,90,free-exercise-db
kettlebell-pistol-squat,Kettlebell Pistol Squat,strength,expert,push,compound,kettlebells,quadriceps,calves; glutes; hamstrings; shoulders,90,free-exercise-db
kettlebell-seated-press,Kettlebell Seated Press,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
kettlebell-seesaw-press,Kettlebell Seesaw Press,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
kettlebell-sumo-high-pull,Kettlebell Sumo High Pull,strength,intermediate,pull,compound,kettlebells,traps,adductors; glutes; hamstrings; quadriceps; shoulders,90,free-exercise-db
kettlebell-thruster,Kettlebell Thruster,strength,intermediate,push,compound,kettlebells,shoulders,quadriceps; triceps,90,free-exercise-db
kettlebell-turkish-get-up-lunge-style,Kettlebell Turkish Get-Up (Lunge style),strength,intermediate,push,compound,kettlebells,shoulders,abdominals; hamstrings; quadriceps; triceps,90,free-exercise-db
kettlebell-turkish-get-up-squat-style,Kettlebell Turkish Get-Up (Squat style),strength,intermediate,push,compound,kettlebells,shoulders,abdominals; calves; hamstrings; quadriceps; triceps,90,free-exercise-db
kettlebell-windmill,Kettlebell Windmill,strength,intermediate,pull,compound,kettlebells,abdominals,glutes; hamstrings; shoulders; triceps,90,free-exercise-db
kipping-muscle-up,Kipping Muscle Up,strength,intermediate,pull,compound,other,lats,abdominals; biceps; forearms; middle back; shoulders; traps; triceps,90,free-exercise-db
knee-hip-raise-on-parallel-bars,Knee/Hip Raise On Parallel Bars,strength,beginner,pull,isolation,other,abdominals,,90,free-exercise-db
kneeling-cable-crunch-with-alternating-oblique-twists,Kneeling Cable Crunch With Alternating Oblique Twists,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
kneeling-cable-triceps-extension,Kneeling Cable Triceps Extension,strength,intermediate,push,isolation,cable,triceps,,90,free-exercise-db
kneeling-high-pulley-row,Kneeling High Pulley Row,strength,beginner,pull,compound,cable,lats,biceps; middle back,90,free-exercise-db
kneeling-single-arm-high-pulley-row,Kneeling Single-Arm High Pulley Row,strength,beginner,pull,compound,cable,lats,biceps; middle back,90,free-exercise-db
landmine-180-s,Landmine 180's,strength,beginner,pull,compound,barbell,abdominals,glutes; lower back; shoulders,90,free-exercise-db
landmine-linear-jammer,Landmine Linear Jammer,strength,intermediate,push,compound,barbell,shoulders,abdominals; calves; chest; hamstrings; quadriceps; triceps,90,free-exercise-db
lateral-raise-with-bands,Lateral Raise - With Bands,strength,beginner,push,isolation,bands,shoulders,,90,free-exercise-db
leg-extensions,Leg Extensions,strength,beginner,push,isolation,machine,quadriceps,,90,free-exercise-db
leg-lift,Leg Lift,strength,beginner,push,isolation,body only,glutes,hamstrings,90,free-exercise-db
leg-over-floor-press,Leg-Over Floor Press,strength,intermediate,push,compound,kettlebells,chest,shoulders; triceps,90,free-exercise-db
leg-press,Leg Press,strength,beginner,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
leg-pull-in,Leg Pull-In,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
leverage-chest-press,Leverage Chest Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
leverage-deadlift,Leverage Deadlift,strength,beginner,pull,compound,machine,quadriceps,glutes; hamstrings,90,free-exercise-db
leverage-decline-chest-press,Leverage Decline Chest Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
leverage-high-row,Leverage High Row,strength,beginner,pull,compound,machine,middle back,lats,90,free-exercise-db
leverage-incline-chest-press,Leverage Incline Chest Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
leverage-iso-row,Leverage Iso Row,strength,beginner,pull,compound,machine,lats,biceps; middle back,90,free-exercise-db
leverage-shoulder-press,Leverage Shoulder Press,strength,beginner,push,compound,machine,shoulders,triceps,90,free-exercise-db
leverage-shrug,Leverage Shrug,strength,beginner,pull,isolation,machine,traps,forearms,90,free-exercise-db
london-bridges,London Bridges,strength,intermediate,pull,compound,other,lats,biceps; forearms; middle back,90,free-exercise-db
low-cable-crossover,Low Cable Crossover,strength,beginner,push,isolation,cable,chest,shoulders,90,free-exercise-db
low-cable-triceps-extension,Low Cable Triceps Extension,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
low-pulley-row-to-neck,Low Pulley Row To Neck,strength,beginner,pull,compound,cable,shoulders,biceps; middle back; traps,90,free-exercise-db
lunge-pass-through,Lunge Pass Through,strength,intermediate,push,compound,kettlebells,hamstrings,calves; glutes; quadriceps,90,free-exercise-db
lunge-sprint,Lunge Sprint,strength,intermediate,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
lying-cable-curl,Lying Cable Curl,strength,intermediate,pull,isolation,cable,biceps,,90,free-exercise-db
lying-cambered-barbell-row,Lying Cambered Barbell Row,strength,beginner,pull,isolation,barbell,middle back,biceps; lats; traps,90,free-exercise-db
lying-close-grip-bar-curl-on-high-pulley,Lying Close-Grip Bar Curl On High Pulley,strength,beginner,pull,isolation,cable,biceps,,90,free-exercise-db
lying-close-grip-barbell-triceps-extension-behind-the-head,Lying Close-Grip Barbell Triceps Extension Behind The Head,strength,intermediate,push,isolation,barbell,triceps,,90,free-exercise-db
lying-close-grip-barbell-triceps-press-to-chin,Lying Close-Grip Barbell Triceps Press To Chin,strength,intermediate,push,isolation,e-z curl bar,triceps,,90,free-exercise-db
lying-dumbbell-tricep-extension,Lying Dumbbell Tricep Extension,strength,intermediate,push,isolation,dumbbell,triceps,chest; shoulders,90,free-exercise-db
lying-face-down-plate-neck-resistance,Lying Face Down Plate Neck Resistance,strength,intermediate,pull,isolation,other,neck,,90,free-exercise-db
lying-face-up-plate-neck-resistance,Lying Face Up Plate Neck Resistance,strength,intermediate,pull,isolation,other,neck,,90,free-exercise-db
lying-high-bench-barbell-curl,Lying High Bench Barbell Curl,strength,intermediate,pull,isolation,barbell,biceps,,90,free-exercise-db
lying-leg-curls,Lying Leg Curls,strength,beginner,pull,isolation,machine,hamstrings,,90,free-exercise-db
lying-machine-squat,Lying Machine Squat,strength,intermediate,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
lying-one-arm-lateral-raise,Lying One-Arm Lateral Raise,strength,intermediate,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
lying-rear-delt-raise,Lying Rear Delt Raise,strength,intermediate,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
lying-supine-dumbbell-curl,Lying Supine Dumbbell Curl,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
lying-t-bar-row,Lying T-Bar Row,strength,intermediate,pull,compound,machine,middle back,biceps; lats,90,free-exercise-db
lying-triceps-press,Lying Triceps Press,strength,intermediate,push,isolation,e-z curl bar,triceps,,90,free-exercise-db
machine-bench-press,Machine Bench Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
machine-bicep-curl,Machine Bicep Curl,strength,beginner,pull,isolation,machine,biceps,,90,free-exercise-db
machine-preacher-curls,Machine Preacher Curls,strength,beginner,pull,isolation,machine,biceps,,90,free-exercise-db
machine-shoulder-military-press,Machine Shoulder (Military) Press,strength,beginner,push,compound,machine,shoulders,triceps,90,free-exercise-db
machine-triceps-extension,Machine Triceps Extension,strength,beginner,push,isolation,machine,triceps,,90,free-exercise-db
middle-back-shrug,Middle Back Shrug,strength,intermediate,pull,isolation,dumbbell,middle back,,90,free-exercise-db
mixed-grip-chin,Mixed Grip Chin,strength,expert,pull,compound,other,middle back,biceps; lats,90,free-exercise-db
monster-walk,Monster Walk,strength,beginner,pull,compound,bands,abductors,,90,free-exercise-db
muscle-up,Muscle Up,strength,intermediate,pull,compound,other,lats,abdominals; biceps; forearms; middle back; shoulders; traps; triceps,90,free-exercise-db
narrow-stance-hack-squats,Narrow Stance Hack Squats,strength,intermediate,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
narrow-stance-leg-press,Narrow Stance Leg Press,strength,intermediate,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
narrow-stance-squats,Narrow Stance Squats,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
natural-glute-ham-raise,Natural Glute Ham Raise,strength,intermediate,pull,compound,body only,hamstrings,calves; glutes; lower back,90,free-exercise-db
neck-press,Neck Press,strength,intermediate,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
oblique-crunches,Oblique Crunches,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
oblique-crunches-on-the-floor,Oblique Crunches - On The Floor,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
one-arm-chin-up,One Arm Chin-Up,strength,expert,pull,compound,other,middle back,biceps; forearms; lats,90,free-exercise-db
one-arm-dumbbell-bench-press,One Arm Dumbbell Bench Press,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
one-arm-dumbbell-preacher-curl,One Arm Dumbbell Preacher Curl,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
one-arm-dumbbell-row,One-Arm Dumbbell Row,strength,beginner,pull,compound,dumbbell,middle back,biceps; lats; shoulders,90,free-exercise-db
one-arm-flat-bench-dumbbell-flye,One-Arm Flat Bench Dumbbell Flye,strength,beginner,push,isolation,dumbbell,chest,,90,free-exercise-db
one-arm-floor-press,One Arm Floor Press,strength,intermediate,push,compound,barbell,triceps,chest; shoulders,90,free-exercise-db
one-arm-high-pulley-cable-side-bends,One-Arm High-Pulley Cable Side Bends,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
one-arm-incline-lateral-raise,One-Arm Incline Lateral Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
one-arm-kettlebell-clean,One-Arm Kettlebell Clean,strength,intermediate,pull,compound,kettlebells,hamstrings,glutes; lower back; shoulders; traps,90,free-exercise-db
one-arm-kettlebell-clean-and-jerk,One-Arm Kettlebell Clean and Jerk,strength,intermediate,push,compound,kettlebells,shoulders,,90,free-exercise-db
one-arm-kettlebell-floor-press,One-Arm Kettlebell Floor Press,strength,intermediate,push,compound,kettlebells,chest,triceps,90,free-exercise-db
one-arm-kettlebell-jerk,One-Arm Kettlebell Jerk,strength,intermediate,push,compound,kettlebells,shoulders,calves; quadriceps; triceps,90,free-exercise-db
one-arm-kettlebell-military-press-to-the-side,One-Arm Kettlebell Military Press To The Side,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
one-arm-kettlebell-para-press,One-Arm Kettlebell Para Press,strength,intermediate,push,compound,kettlebells,shoulders,triceps,90,free-exercise-db
one-arm-kettlebell-push-press,One-Arm Kettlebell Push Press,strength,intermediate,push,compound,kettlebells,shoulders,calves; quadriceps; triceps,90,free-exercise-db
one-arm-kettlebell-row,One-Arm Kettlebell Row,strength,intermediate,pull,compound,kettlebells,middle back,biceps; lats,90,free-exercise-db
one-arm-kettlebell-snatch,One-Arm Kettlebell Snatch,strength,expert,pull,compound,kettlebells,shoulders,calves; glutes; hamstrings; lower back; traps; triceps,90,free-exercise-db
one-arm-kettlebell-split-jerk,One-Arm Kettlebell Split Jerk,strength,intermediate,push,compound,kettlebells,shoulders,glutes; hamstrings; quadriceps; triceps,90,free-exercise-db
one-arm-kettlebell-split-snatch,One-Arm Kettlebell Split Snatch,strength,expert,pull,compound,kettlebells,shoulders,hamstrings; quadriceps,90,free-exercise-db
one-arm-kettlebell-swings,One-Arm Kettlebell Swings,strength,intermediate,pull,compound,kettlebells,hamstrings,calves; glutes; lower back; shoulders,90,free-exercise-db
one-arm-lat-pulldown,One Arm Lat Pulldown,strength,beginner,pull,compound,cable,lats,biceps; middle back,90,free-exercise-db
one-arm-long-bar-row,One-Arm Long Bar Row,strength,beginner,pull,compound,barbell,middle back,biceps; lats,90,free-exercise-db
one-arm-medicine-ball-slam,One-Arm Medicine Ball Slam,strength,beginner,pull,compound,medicine ball,abdominals,lats; shoulders,90,free-exercise-db
one-arm-open-palm-kettlebell-clean,One-Arm Open Palm Kettlebell Clean,strength,intermediate,pull,compound,kettlebells,hamstrings,forearms; glutes; lower back; quadriceps; shoulders,90,free-exercise-db
one-arm-overhead-kettlebell-squats,One-Arm Overhead Kettlebell Squats,strength,expert,push,compound,kettlebells,quadriceps,calves; glutes; hamstrings; shoulders,90,free-exercise-db
one-arm-pronated-dumbbell-triceps-extension,One Arm Pronated Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
one-arm-side-deadlift,One-Arm Side Deadlift,strength,expert,pull,compound,barbell,quadriceps,abdominals; calves; glutes; hamstrings; lower back; traps,90,free-exercise-db
one-arm-side-laterals,One-Arm Side Laterals,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
one-arm-supinated-dumbbell-triceps-extension,One Arm Supinated Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
one-leg-barbell-squat,One Leg Barbell Squat,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
one-legged-cable-kickback,One-Legged Cable Kickback,strength,intermediate,push,isolation,cable,glutes,hamstrings,90,free-exercise-db
open-palm-kettlebell-clean,Open Palm Kettlebell Clean,strength,expert,pull,compound,kettlebells,hamstrings,glutes; lower back; quadriceps; shoulders,90,free-exercise-db
otis-up,Otis-Up,strength,beginner,pull,compound,other,abdominals,chest; shoulders; triceps,90,free-exercise-db
overhead-cable-curl,Overhead Cable Curl,strength,intermediate,pull,isolation,cable,biceps,,90,free-exercise-db
pallof-press,Pallof Press,strength,beginner,pull,isolation,cable,abdominals,chest; shoulders; triceps,90,free-exercise-db
pallof-press-with-rotation,Pallof Press With Rotation,strength,beginner,pull,compound,cable,abdominals,chest; shoulders; triceps,90,free-exercise-db
palms-down-dumbbell-wrist-curl-over-a-bench,Palms-Down Dumbbell Wrist Curl Over A Bench,strength,beginner,pull,isolation,dumbbell,forearms,,90,free-exercise-db
palms-down-wrist-curl-over-a-bench,Palms-Down Wrist Curl Over A Bench,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
palms-up-barbell-wrist-curl-over-a-bench,Palms-Up Barbell Wrist Curl Over A Bench,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
palms-up-dumbbell-wrist-curl-over-a-bench,Palms-Up Dumbbell Wrist Curl Over A Bench,strength,beginner,pull,isolation,dumbbell,forearms,,90,free-exercise-db
parallel-bar-dip,Parallel Bar Dip,strength,beginner,push,compound,other,triceps,chest; shoulders,90,free-exercise-db
physioball-hip-bridge,Physioball Hip Bridge,strength,beginner,push,compound,exercise ball,glutes,hamstrings,90,free-exercise-db
plank,Plank,strength,beginner,static,isolation,body only,abdominals,,90,free-exercise-db
plank-shoulder-taps,Plank Shoulder Taps,strength,beginner,static,compound,body only,abdominals,shoulders; triceps,30,original
plate-pinch,Plate Pinch,strength,intermediate,static,isolation,other,forearms,,90,free-exercise-db
plate-twist,Plate Twist,strength,intermediate,pull,compound,other,abdominals,,90,free-exercise-db
platform-hamstring-slides,Platform Hamstring Slides,strength,beginner,pull,isolation,other,hamstrings,glutes,90,free-exercise-db
plie-dumbbell-squat,Plie Dumbbell Squat,strength,beginner,push,compound,dumbbell,quadriceps,abdominals; calves; glutes; hamstrings,90,free-exercise-db
plyo-kettlebell-pushups,Plyo Kettlebell Pushups,strength,expert,push,compound,kettlebells,chest,shoulders; triceps,90,free-exercise-db
power-clean,Power Clean,strength,intermediate,pull,compound,barbell,hamstrings,calves; forearms; glutes; lower back; middle back; quadriceps; shoulders; traps; triceps,90,free-exercise-db
power-partials,Power Partials,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
preacher-curl,Preacher Curl,strength,beginner,pull,isolation,barbell,biceps,,90,free-exercise-db
preacher-hammer-dumbbell-curl,Preacher Hammer Dumbbell Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
press-sit-up,Press Sit-Up,strength,expert,push,compound,barbell,abdominals,chest; shoulders; triceps,90,free-exercise-db
prone-manual-hamstring,Prone Manual Hamstring,strength,beginner,static,isolation,,hamstrings,,90,free-exercise-db
pull-through,Pull Through,strength,beginner,pull,compound,cable,glutes,hamstrings; lower back,90,free-exercise-db
pullups,Pullups,strength,beginner,pull,compound,body only,lats,biceps; middle back,90,free-exercise-db
push-up-to-side-plank,Push Up to Side Plank,strength,beginner,push,compound,body only,chest,abdominals; shoulders; triceps,90,free-exercise-db
push-up-wide,Push-Up Wide,strength,beginner,,compound,body only,chest,abdominals; shoulders; triceps,90,free-exercise-db
push-ups-close-triceps-position,Push-Ups - Close Triceps Position,strength,intermediate,push,compound,body only,triceps,chest; shoulders,90,free-exercise-db
push-ups-with-feet-elevated,Push-Ups With Feet Elevated,strength,beginner,push,compound,body only,chest,shoulders; triceps,90,free-exercise-db
push-ups-with-feet-on-an-exercise-ball,Push-Ups With Feet On An Exercise Ball,strength,intermediate,push,compound,exercise ball,chest,shoulders; triceps,90,free-exercise-db
pushups,Pushups,strength,beginner,push,compound,body only,chest,shoulders; triceps,90,free-exercise-db
pushups-close-and-wide-hand-positions,Pushups (Close and Wide Hand Positions),strength,beginner,push,compound,body only,chest,shoulders; triceps,90,free-exercise-db
reverse-barbell-curl,Reverse Barbell Curl,strength,beginner,pull,isolation,barbell,biceps,forearms,90,free-exercise-db
reverse-barbell-preacher-curls,Reverse Barbell Preacher Curls,strength,intermediate,pull,isolation,e-z curl bar,biceps,forearms,90,free-exercise-db
reverse-cable-curl,Reverse Cable Curl,strength,beginner,pull,isolation,cable,biceps,forearms,90,free-exercise-db
reverse-crunch,Reverse Crunch,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
reverse-flyes,Reverse Flyes,strength,beginner,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
reverse-flyes-with-external-rotation,Reverse Flyes With External Rotation,strength,intermediate,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
reverse-grip-bent-over-rows,Reverse Grip Bent-Over Rows,strength,intermediate,pull,compound,barbell,middle back,biceps; lats; shoulders,90,free-exercise-db
reverse-grip-triceps-pushdown,Reverse Grip Triceps Pushdown,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
reverse-hyperextension,Reverse Hyperextension,strength,intermediate,pull,,machine,hamstrings,calves; glutes,90,free-exercise-db
reverse-machine-flyes,Reverse Machine Flyes,strength,beginner,pull,isolation,machine,shoulders,,90,free-exercise-db
reverse-plate-curls,Reverse Plate Curls,strength,beginner,pull,isolation,other,biceps,forearms,90,free-exercise-db
reverse-triceps-bench-press,Reverse Triceps Bench Press,strength,intermediate,push,compound,barbell,triceps,chest; shoulders,90,free-exercise-db
ring-dips,Ring Dips,strength,intermediate,push,compound,other,triceps,chest; shoulders,90,free-exercise-db
rocking-standing-calf-raise,Rocking Standing Calf Raise,strength,beginner,push,isolation,barbell,calves,,90,free-exercise-db
rocky-pull-ups-pulldowns,Rocky Pull-Ups/Pulldowns,strength,intermediate,pull,compound,other,lats,biceps; middle back; shoulders,90,free-exercise-db
romanian-deadlift,Romanian Deadlift,strength,intermediate,pull,compound,barbell,hamstrings,calves; glutes; lower back,90,free-exercise-db
rope-climb,Rope Climb,strength,intermediate,pull,compound,other,lats,biceps; forearms; middle back; shoulders,90,free-exercise-db
rope-crunch,Rope Crunch,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
rope-straight-arm-pulldown,Rope Straight-Arm Pulldown,strength,beginner,pull,isolation,cable,lats,,90,free-exercise-db
russian-twist,Russian Twist,strength,intermediate,pull,compound,body only,abdominals,lower back,90,free-exercise-db
scapular-pull-up,Scapular Pull-Up,strength,beginner,pull,isolation,,traps,lats; middle back,90,free-exercise-db
seated-band-hamstring-curl,Seated Band Hamstring Curl,strength,beginner,pull,isolation,other,hamstrings,,90,free-exercise-db
seated-barbell-military-press,Seated Barbell Military Press,strength,intermediate,push,compound,barbell,shoulders,triceps,90,free-exercise-db
seated-barbell-twist,Seated Barbell Twist,strength,beginner,pull,isolation,barbell,abdominals,,90,free-exercise-db
seated-bent-over-one-arm-dumbbell-triceps-extension,Seated Bent-Over One-Arm Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
seated-bent-over-rear-delt-raise,Seated Bent-Over Rear Delt Raise,strength,intermediate,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
seated-bent-over-two-arm-dumbbell-triceps-extension,Seated Bent-Over Two-Arm Dumbbell Triceps Extension,strength,intermediate,push,isolation,dumbbell,triceps,,90,free-exercise-db
seated-cable-rows,Seated Cable Rows,strength,beginner,pull,compound,cable,middle back,biceps; lats; shoulders,90,free-exercise-db
seated-cable-shoulder-press,Seated Cable Shoulder Press,strength,beginner,push,compound,cable,shoulders,triceps,90,free-exercise-db
seated-calf-raise,Seated Calf Raise,strength,beginner,push,isolation,machine,calves,,90,free-exercise-db
seated-close-grip-concentration-barbell-curl,Seated Close-Grip Concentration Barbell Curl,strength,intermediate,pull,isolation,barbell,biceps,,90,free-exercise-db
seated-dumbbell-curl,Seated Dumbbell Curl,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
seated-dumbbell-inner-biceps-curl,Seated Dumbbell Inner Biceps Curl,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
seated-dumbbell-palms-down-wrist-curl,Seated Dumbbell Palms-Down Wrist Curl,strength,beginner,pull,isolation,dumbbell,forearms,,90,free-exercise-db
seated-dumbbell-palms-up-wrist-curl,Seated Dumbbell Palms-Up Wrist Curl,strength,beginner,pull,isolation,dumbbell,forearms,,90,free-exercise-db
seated-dumbbell-press,Seated Dumbbell Press,strength,beginner,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
seated-flat-bench-leg-pull-in,Seated Flat Bench Leg Pull-In,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
seated-head-harness-neck-resistance,Seated Head Harness Neck Resistance,strength,intermediate,pull,isolation,other,neck,,90,free-exercise-db
seated-leg-curl,Seated Leg Curl,strength,beginner,pull,isolation,machine,hamstrings,,90,free-exercise-db
seated-leg-tucks,Seated Leg Tucks,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
seated-one-arm-cable-pulley-rows,Seated One-arm Cable Pulley Rows,strength,intermediate,pull,compound,cable,middle back,biceps; lats; traps,90,free-exercise-db
seated-one-arm-dumbbell-palms-down-wrist-curl,Seated One-Arm Dumbbell Palms-Down Wrist Curl,strength,intermediate,pull,isolation,dumbbell,forearms,,90,free-exercise-db
seated-one-arm-dumbbell-palms-up-wrist-curl,Seated One-Arm Dumbbell Palms-Up Wrist Curl,strength,beginner,pull,isolation,dumbbell,forearms,,90,free-exercise-db
seated-palm-up-barbell-wrist-curl,Seated Palm-Up Barbell Wrist Curl,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
seated-palms-down-barbell-wrist-curl,Seated Palms-Down Barbell Wrist Curl,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
seated-side-lateral-raise,Seated Side Lateral Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
seated-triceps-press,Seated Triceps Press,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
seated-two-arm-palms-up-low-pulley-wrist-curl,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,beginner,pull,isolation,cable,forearms,,90,free-exercise-db
see-saw-press-alternating-side-press,See-Saw Press (Alternating Side Press),strength,intermediate,push,compound,dumbbell,shoulders,abdominals; triceps,90,free-exercise-db
shotgun-row,Shotgun Row,strength,beginner,pull,compound,cable,lats,biceps; middle back,90,free-exercise-db
shoulder-press-with-bands,Shoulder Press - With Bands,strength,beginner,push,compound,bands,shoulders,triceps,90,free-exercise-db
side-bridge,Side Bridge,strength,beginner,static,,body only,abdominals,shoulders,90,free-exercise-db
side-jackknife,Side Jackknife,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
side-lateral-raise,Side Lateral Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
side-laterals-to-front-raise,Side Laterals to Front Raise,strength,beginner,push,isolation,dumbbell,shoulders,traps,90,free-exercise-db
side-to-side-chins,Side To Side Chins,strength,intermediate,pull,compound,other,lats,biceps; forearms; middle back; shoulders,90,free-exercise-db
single-arm-cable-crossover,Single-Arm Cable Crossover,strength,beginner,push,isolation,cable,chest,,90,free-exercise-db
